initial_path_img;actual_path_img;imageID;HAID;random_order1;severity;has_gap;BirdID;severity2;has_gap2;BirdID2
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00001\SER00065\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\0.jpg;0;HA2;146;1;1;56green9gs;1,2;1;56green9gs
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00002\SER00049\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\1.jpg;1;HA2;200;1;1;70green11gg;1,1;1;70green11gg
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00002\SER00034\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\2.jpg;2;HA2;202;0,3;0;2green5pp;0,1;0;2green5pp
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00002\SER00006\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\3.jpg;3;HA2;16;0;0;72black10wp;0;0;72black10wp
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins1\IHE_PDI\S00001\SER00036\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\4.jpg;4;HA5;108;1,2;0;68grey8;1;0;68grey8
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins2\IHE_PDI\S00001\SER00037\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\5.jpg;5;HA5;251;1,7;0;80grey11bs;3;0;80grey11bs
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00002\SER00071\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\6.jpg;6;HA2;214;0,2;0;67orange4sbs;0,1;0;67orange4sbs
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00002\SER00074\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\7.jpg;7;HA2;282;0,6;0;59orange4pb;0,2;0;59orange4pb
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins2\IHE_PDI\S00001\SER00081\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\8.jpg;8;HA5;288;1,8;0;32orange12sb;0,9;0;32orange12sb
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins1\IHE_PDI\S00001\SER00082\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\9.jpg;9;HA5;247;1,7;0;10orange3;1,9;0;10orange3
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins3\IHE_PDI\S00001\SER00023\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\10.jpg;10;HA5;238;0,5;0;50black4sb;0,6;0;50black4sb
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins2\IHE_PDI\S00001\SER00051\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\11.jpg;11;HA5;354;3,3;1;76grey9bb;3,4;1;76grey9bb
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins3\IHE_PDI\S00001\SER00026\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\12.jpg;12;HA5;329;3,5;1;25black4bb;3,8;1;25black4bb
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00002\SER00045\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\13.jpg;13;HA2;287;0,1;0;28green11ss;0,1;0;28green11ss
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00001\SER00054\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\14.jpg;14;HA2;326;0,5;0;43black8bb;0,6;0;43black8bb
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins1\IHE_PDI\S00001\SER00022\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\15.jpg;15;HA5;320;1;0;38orange10sg;1,5;0;38orange10sg
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins1\IHE_PDI\S00001\SER00004\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\16.jpg;16;HA5;243;1,2;0;72green10;1,8;0;72green10
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00001\SER00028\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\17.jpg;17;HA2;31;1,5;1;61green3sbs;1,9;1;61green3sbs
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins2\IHE_PDI\S00001\SER00046\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\18.jpg;18;HA5;294;1,2;0;73grey4;2,4;0;73grey4
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00002\SER00025\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\19.jpg;19;HA2;81;0,7;0;35grey5sw;1;1;35grey5sw
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins2\IHE_PDI\S00001\SER00021\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\20.jpg;20;HA5;77;1,7;1;75black11;2,2;1;75black11
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00001\SER00026\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\21.jpg;21;HA2;308;0,9;1;32grey3pw;0,9;1;32grey3pw
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins2\IHE_PDI\S00001\SER00007\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\22.jpg;22;HA5;367;1,6;1;35grey5sw;1,5;0;35grey5sw
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins2\IHE_PDI\S00001\SER00012\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\23.jpg;23;HA5;364;3,3;1;15black9;3;1;15black9
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins1\IHE_PDI\S00001\SER00030\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\24.jpg;24;HA5;164;1,2;0;3green5gg;1,2;0;3green5gg
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins2\IHE_PDI\S00001\SER00039\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\25.jpg;25;HA5;236;2;1;69orange11ps;2,3;1;69orange11ps
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00001\SER00058\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\26.jpg;26;HA2;185;0;0;29black8wp;0;0;29black8wp
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00001\SER00069\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\27.jpg;27;HA2;359;;;;;;
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00002\SER00047\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\28.jpg;28;HA2;38;1,5;0;62green11gp;1,3;0;62green11gp
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins1\IHE_PDI\S00001\SER00005\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\29.jpg;29;HA5;197;1,6;1;45orange8sg;1,9;1;45orange8sg
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00002\SER00021\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\30.jpg;30;HA2;142;2;0;20grey5gs;2,3;0;20grey5gs
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00001\SER00082\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\31.jpg;31;HA2;99;0,2;0;44green9sw;0;0;44green9sw
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins1\IHE_PDI\S00001\SER00035\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\32.jpg;32;HA5;242;2,3;0;4grey8;2,5;0;4grey8
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00001\SER00080\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\33.jpg;33;HA2;198;1,7;0;42grey9sb;1,8;0;42grey9sb
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA2\KBF-04-01-2021\Origins 04.01.2021\IHE_PDI\S00002\SER00052\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\34.jpg;34;HA2;26;1,5;0;26grey11sbs;1,5;0;26grey11sbs
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins2\IHE_PDI\S00001\SER00045\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\35.jpg;35;HA5;123;1,6;0;6grey4;1,7;0;6grey4
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins1\IHE_PDI\S00001\SER00076\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\36.jpg;36;HA5;163;1,3;0;33green3bb;1,4;0;33green3bb
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins2\IHE_PDI\S00001\SER00035\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\37.jpg;37;HA5;334;1,9;0;70orange11pp;2;0;70orange11pp
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins1\IHE_PDI\S00001\SER00027\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\38.jpg;38;HA5;237;1,8;0;66black10pw;2;0;66black10pw
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins1\IHE_PDI\S00001\SER00057\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\39.jpg;39;HA5;336;1,2;0;59green5;1,5;0;59green5
G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\HA5\KBF-26-07-2021\origins1\IHE_PDI\S00001\SER00058\I00001.JPG;G:\VPHI\Welfare\2- Research Projects\OFHE2.OriginsE2\DataOutput\HA\AllPictures_27-07-2021\40.jpg;40;HA5;299;1,5;0;18green5;1,8;0;18green5
